Player_id,name,sex,dob,height,weight,sport,venues,gold,silver,bronze,coach,country,Broadcasting_Service
736041664,A_Jesus_Garcia,male,10/17/1969,1.72,64,athletics,Olympic_Aquatics_Stadium,0,0,0,basco,Afghanistan,Hotstart
532037425,A_Lam_Shin,female,9/23/1986,1.68,56,fencing,Riocentro_Pavilion_4,0,0,0,dravid,Albania,espn
435962603,Aaron_Brown,male,5/27/1992,1.98,79,athletics,Olympic_Aquatics_Stadium,0,0,1,disel,Algeria,star_sports
521041435,Aaron_Cook,male,1/2/1991,1.83,80,taekwondo,Carioca_Arena_3,0,0,0,jack,Americanada_sport_Samoa*,canada_sport
33922579,Aaron_Gate,male,11/26/1990,1.81,71,cycling,Olympic_Stadium,0,0,0,mac,Andorra,dd
173071782,Aaron_Royle,male,1/26/1990,1.8,67,triathlon,Olympic_Golf_Course,0,0,0,tom,Angola,youtube
266237702,Aaron_Russell,male,6/4/1993,2.05,98,volleyball,Rio_Olympic_Arena,0,0,1,som,Antigua_and_Barbuda,match_tv
382571888,Aaron_Younger,male,9/25/1991,1.93,100,aquatics,Olympic_Aquatics_Stadium,0,0,0,denver,Argentina,cbc_sport
87689776,Aauri_Lorena_Bokesa,female,12/14/1988,1.8,62,athletics,Olympic_Aquatics_Stadium,0,0,0,jenny,Armenia,sony_6
997877719,Ababel_Yeshaneh,female,7/22/1991,1.65,54,athletics,Olympic_Aquatics_Stadium,0,0,0,don,Aruba,tv3_sport
343694681,Abadi_Hadis,male,11/6/1997,1.7,63,athletics,Olympic_Aquatics_Stadium,0,0,0,basco,Australia,10_bold
591319906,Abbas_Abubakar_Abbas,male,5/17/1996,1.75,66,athletics,Olympic_Aquatics_Stadium,0,0,0,dravid,Austria,Hotstart
258556239,Abbas_Qali,male,10/11/1992,1.5,55,aquatics,Olympic_Aquatics_Stadium,0,0,0,disel,Azerbaijan,espn
376068084,Abbey_D'Agostino,female,5/25/1992,1.61,49,athletics,Olympic_Aquatics_Stadium,0,0,0,jack,Bahamas,star_sports
162792594,Abbey_Weitzeil,female,12/3/1996,1.78,68,aquatics,Olympic_Aquatics_Stadium,1,1,0,mac,Bahrain,canada_sport
521036704,Abbie_Brown,female,4/10/1996,1.76,71,rugby_sevens,Fort_Copacabana,0,0,0,tom,Bangladesh,dd
149397772,Abbos_Rakhmonov,male,7/7/1998,1.61,57,wrestling,Rio_Olympic_Arena,0,0,0,som,Barbados,youtube
256673338,Abbubaker_Mobara,male,2/18/1994,1.75,64,football,Riocentro_Pavilion_4,0,0,0,denver,Belarus,match_tv
337369662,Abby_Erceg,female,11/20/1989,1.75,68,football,Riocentro_Pavilion_4,0,0,0,jenny,Belgium,cbc_sport
334169879,Abd_Elhalim_Mohamed_Abou,male,6/3/1989,2.1,88,volleyball,Rio_Olympic_Arena,0,0,0,don,Belize,sony_7
215053268,Abdalaati_Iguider,male,3/25/1987,1.73,57,athletics,Olympic_Aquatics_Stadium,0,0,0,basco,Bermuda,tv3_sport
763711985,Abdalelah_Haroun,male,1/1/1997,1.85,80,athletics,Olympic_Aquatics_Stadium,0,0,0,dravid,Benin,11_bold
924593601,Abdalla_Targan,male,9/28/1996,1.77,65,athletics,Olympic_Aquatics_Stadium,0,0,0,disel,Bhutan,Hotstart
578032534,Abdel_Aziz_Mehelba,male,12/10/1988,1.76,80,shooting,Rio_Olympic_Velodrome,0,0,0,jack,Bolivia,espn
890222258,Abdelati_El_Guesse,male,2/27/1993,1.9,72,athletics,Olympic_Aquatics_Stadium,0,0,0,mac,Bosnia_and_Herzegovina,star_sports
803161695,Abdelaziz_Merzougui,male,8/30/1991,1.75,67,athletics,Fort_Copacabana,0,0,0,tom,Botswana,canada_sport
189931373,Abdelaziz_Mohamed_Ahmed,male,10/12/1994,1.81,72,aquatics,Olympic_Aquatics_Stadium,0,0,0,som,Brazil,dd
677622742,Abdelghani_Demmou,male,1/29/1989,1.85,75,football,Riocentro_Pavilion_4,0,0,0,denver,British_Virgin_Islands,youtube
349871091,Abdelhafid_Benchabla,male,9/26/1986,1.86,45,boxing,Olympic_Stadium,0,0,0,jenny,Brunei,match_tv
904808208,Abdelhakim_Amokrane,male,5/10/1994,1.86,70,football,Carioca_Arena_1_Youth_Arena,0,0,0,don,Bulgaria,cbc_sport
23564778,Abdelkader_Chadi,male,12/12/1986,1.78,84,boxing,Olympic_Stadium,0,0,0,basco,Burkina_Faso,sony_8
133974151,Abdelkadir_Salhi,male,3/19/1993,1.85,79,football,Carioca_Arena_1,0,0,0,dravid,Burundi,tv3_sport
189886442,Abdelkebir_Ouaddar,male,7/15/1962,1.74,67,equestrian,Olympic_Stadium,0,0,0,disel,Cambodia,12_bold
199516300,Abdelkhalek_Elbanna,male,7/4/1988,1.93,95,rowing,Olympic_BMX_Centre,0,0,0,jack,Cameroon,Hotstart
570342175,Abdellatif_Mohamed_Ahmed_Mohamed,male,12/8/1995,1.76,120,wrestling,Future_Arena,0,0,0,mac,canada_sportada,espn
517007712,Abdelmajid_El_Hissouf,male,9/23/1992,1.7,56,athletics,Fort_Copacabana,0,0,0,tom,Cape_Verde,star_sports
512730813,Abdelmalik_Lahoulou,male,5/7/1992,1.77,72,athletics,Olympic_Aquatics_Stadium,0,0,0,som,Cayman_Islands,canada_sport
934545704,Abdelrahman_Salah_Orabi_Abdelgawwad,male,10/9/1987,1.85,56,boxing,Olympic_Stadium,0,0,0,denver,Central_Africanada_sport_Republic,dd
514096508,Abdelraouf_Benguit,male,4/5/1996,1.7,65,football,Riocentro_Pavilion_6,0,0,0,jenny,Chad,youtube
388896171,Abderrahmane_Benamadi,male,7/3/1985,1.83,90,judo,Lagoa_Stadium,0,0,0,don,Chile,match_tv
285603057,Abderrahmane_Mansouri,male,1/13/1995,1.72,66,cycling,Olympic_Stadium,0,0,0,basco,China,cbc_sport
545134894,Abderrahmane_Meziane,male,3/7/1994,1.68,62,football,Riocentro_Pavilion_6,0,0,0,dravid,Colombia,sony_9
