Player id,name,sex,dob,height,weight,sport,gold,silver,bronze,coach,country,Broadcasting Services
736041664,A Jesus Garcia,male,10/17/1969,1.72,64,athletics,0,0,0,basco,Afghanistan,Hotstart
532037425,A Lam Shin,female,9/23/1986,1.68,56,fencing,0,0,0,dravid,Albania,espn
435962603,Aaron Brown,male,5/27/1992,1.98,79,athletics,0,0,1,disel,Algeria,star sports
521041435,Aaron Cook,male,1/2/1991,1.83,80,taekwondo,0,0,0,jack,Americanada_sport Samoa*,canada_sport
33922579,Aaron Gate,male,11/26/1990,1.81,71,cycling,0,0,0,mac,Andorra,dd
173071782,Aaron Royle,male,1/26/1990,1.8,67,triathlon,0,0,0,tom,Angola,youtube
266237702,Aaron Russell,male,6/4/1993,2.05,98,volleyball,0,0,1,som,Antigua and Barbuda,match tv
382571888,Aaron Younger,male,9/25/1991,1.93,100,aquatics,0,0,0,denver,Argentina,cbc sport
87689776,Aauri Lorena Bokesa,female,12/14/1988,1.8,62,athletics,0,0,0,jenny,Armenia,sony 6
997877719,Ababel Yeshaneh,female,7/22/1991,1.65,54,athletics,0,0,0,don,Aruba*,tv3 sport
343694681,Abadi Hadis,male,11/6/1997,1.7,63,athletics,0,0,0,basco,Australia,10 bold
591319906,Abbas Abubakar Abbas,male,5/17/1996,1.75,66,athletics,0,0,0,dravid,Austria,Hotstart
258556239,Abbas Qali,male,10/11/1992,,,aquatics,0,0,0,disel,Azerbaijan,espn
376068084,Abbey D'Agostino,female,5/25/1992,1.61,49,athletics,0,0,0,jack,Bahamas,star sports
162792594,Abbey Weitzeil,female,12/3/1996,1.78,68,aquatics,1,1,0,mac,Bahrain,canada_sport
521036704,Abbie Brown,female,4/10/1996,1.76,71,rugby sevens,0,0,0,tom,Bangladesh,dd
149397772,Abbos Rakhmonov,male,7/7/1998,1.61,57,wrestling,0,0,0,som,Barbados,youtube
256673338,Abbubaker Mobara,male,2/18/1994,1.75,64,football,0,0,0,denver,Belarus,match tv
337369662,Abby Erceg,female,11/20/1989,1.75,68,football,0,0,0,jenny,Belgium,cbc sport
334169879,Abd Elhalim Mohamed Abou,male,6/3/1989,2.1,88,volleyball,0,0,0,don,Belize,sony 7
215053268,Abdalaati Iguider,male,3/25/1987,1.73,57,athletics,0,0,0,basco,Bermuda*,tv3 sport
763711985,Abdalelah Haroun,male,1/1/1997,1.85,80,athletics,0,0,0,dravid,Benin,11 bold
924593601,Abdalla Targan,male,9/28/1996,1.77,65,athletics,0,0,0,disel,Bhutan,Hotstart
578032534,Abdel Aziz Mehelba,male,12/10/1988,1.76,80,shooting,0,0,0,jack,Bolivia,espn
890222258,Abdelati El Guesse,male,2/27/1993,1.9,72,athletics,0,0,0,mac,Bosnia and Herzegovina,star sports
803161695,Abdelaziz Merzougui,male,8/30/1991,1.75,67,athletics,0,0,0,tom,Botswana,canada_sport
189931373,Abdelaziz Mohamed Ahmed,male,10/12/1994,1.81,72,aquatics,0,0,0,som,Brazil,dd
677622742,Abdelghani Demmou,male,1/29/1989,1.85,75,football,0,0,0,denver,British Virgin Islands,youtube
349871091,Abdelhafid Benchabla,male,9/26/1986,1.86,,boxing,0,0,0,jenny,Brunei,match tv
904808208,Abdelhakim Amokrane,male,5/10/1994,1.86,70,football,0,0,0,don,Bulgaria,cbc sport
23564778,Abdelkader Chadi,male,12/12/1986,1.78,,boxing,0,0,0,basco,Burkina Faso,sony 8
133974151,Abdelkadir Salhi,male,3/19/1993,1.85,79,football,0,0,0,dravid,Burundi,tv3 sport
189886442,Abdelkebir Ouaddar,male,7/15/1962,1.74,67,equestrian,0,0,0,disel,Cambodia,12 bold
199516300,Abdelkhalek Elbanna,male,7/4/1988,1.93,95,rowing,0,0,0,jack,Cameroon,Hotstart
570342175,Abdellatif Mohamed Ahmed Mohamed,male,12/8/1995,1.76,120,wrestling,0,0,0,mac,canada_sportada,espn
517007712,Abdelmajid El Hissouf,male,9/23/1992,1.7,56,athletics,0,0,0,tom,Cape Verde,star sports
512730813,Abdelmalik Lahoulou,male,5/7/1992,1.77,72,athletics,0,0,0,som,Cayman Islands*,canada_sport
934545704,Abdelrahman Salah Orabi Abdelgawwad,male,10/9/1987,1.85,,boxing,0,0,0,denver,Central Africanada_sport Republic,dd
514096508,Abdelraouf Benguit,male,4/5/1996,1.7,65,football,0,0,0,jenny,Chad,youtube
388896171,Abderrahmane Benamadi,male,7/3/1985,1.83,90,judo,0,0,0,don,Chile,match tv
285603057,Abderrahmane Mansouri,male,1/13/1995,1.72,66,cycling,0,0,0,basco,China,cbc sport
545134894,Abderrahmane Meziane,male,3/7/1994,1.68,62,football,0,0,0,dravid,Colombia,sony 9
64529046,Abdi Hakin Ulad,male,6/14/1991,1.75,57,athletics,0,0,0,disel,Comoros,tv3 sport
917755766,Abdi Nageeye,male,3/2/1989,1.65,54,athletics,0,0,0,jack,Congo,13 bold
184980926,Abdi Waiss Mouhyadin,male,7/3/1996,1.6,60,athletics,0,0,0,mac,"Congo, Dem Rep",Hotstart
702606719,Abdoul Khadre Mbaye Niane,male,8/20/1988,1.9,90,aquatics,0,0,0,tom,Cook Islands,espn
259675127,Abdoulkarim Fawziya,female,3/1/1989,1.8,67,volleyball,0,0,0,som,Costa Rica,star sports
469953606,Abdoullah Bamoussa,male,6/8/1986,,,athletics,0,0,0,denver,Cote d'Ivoire,canada_sport
962468808,Abdoulrazak Issoufou Alfaga,male,12/26/1994,2.07,98,taekwondo,0,1,0,jenny,Croatia,dd
958967643,Abdul Khalili,male,6/7/1992,1.81,71,football,0,0,0,don,Cuba,youtube
325809293,Abdul Omar,male,10/3/1993,,,boxing,0,0,0,basco,Cyprus,match tv
152408417,Abdul Wahab Zahiri,male,5/27/1992,1.75,68,athletics,0,0,0,dravid,Czech Republic,cbc sport
262868423,Abdulaziz Alshatti,male,10/30/1990,,,fencing,0,0,0,disel,Denmark,sony 10
101781750,Abdulkadir Abdullayev,male,7/17/1988,1.88,,boxing,0,0,0,jack,Djibouti,tv3 sport
5763609,Abdullah Abkar Mohammed,male,1/1/1997,1.72,73,athletics,0,0,0,mac,Dominica,14 bold
969824503,Abdullah Alrashidi,male,8/21/1963,1.83,84,shooting,0,0,1,tom,Dominicanada_sport Republic,Hotstart
897549624,Abdullah Hel Baki,male,8/1/1989,,,shooting,0,0,0,som,East Timor (Timor-Leste),espn
153457,Abdullahi Shehu,male,3/12/1993,1.7,,football,0,0,1,denver,Ecuador,star sports
803368584,Abdullo Tangriev,male,3/28/1981,1.9,132,judo,0,0,0,jenny,Egypt,canada_sport
937153550,Abdulrahman Al Faihan,male,6/24/1986,,,shooting,0,0,0,don,El Salvador,dd
746318262,Abdulrashid Sadulaev,male,5/9/1996,1.77,86,wrestling,1,0,0,basco,Equatorial Guinea,youtube
841446548,Abdulrazzaq Murad,male,6/29/1990,1.86,77,handball,0,0,0,dravid,Eritrea,match tv
884912875,Abeku Gyekye Jackson,male,4/12/2000,,,aquatics,0,0,0,disel,Estonia,cbc sport
146197583,Abhinav Bindra,male,9/28/1982,1.75,70,shooting,0,0,0,jack,Ethiopia,sony 11
884912136,Abigail Johnston,female,11/16/1989,1.66,61,aquatics,0,0,0,mac,Fiji,tv3 sport
221052317,Abigel Joo,female,8/6/1990,1.83,76,judo,0,0,0,tom,Finland,15 bold
157637514,Ablaikhan Zhussupov,male,1/10/1997,1.75,,boxing,0,0,0,som,France,Hotstart
78813419,Abraham Kipchirchir Rotich,male,9/26/1993,1.83,65,athletics,0,0,0,denver,Gabon,espn
555457991,Abraham Naibei Cheroben,male,10/11/1992,1.76,60,athletics,0,0,0,jenny,Gambia,star sports
877850429,Abraham Niyonkuru,male,12/26/1989,1.62,52,athletics,0,0,0,don,Georgia,canada_sport
369092977,Abrar Osman,male,1/1/1994,1.68,58,athletics,0,0,0,basco,Germany,dd
